roi,model,linbool,waic
Gambia,reducedlinearmodelq0_fit_table,True,16.533958002316147
Cabo Verde,reducedlinearmodelNegBinom_fit_table,True,107.68457221004792
Antigua and Barbuda,reducedlinearmodelq0_fit_table,True,108.71574896727287
Somalia,nonlinearmodelq0ctime_fit_table,False,116.41970736617948
Zimbabwe,reducedlinearmodelNegBinom_fit_table,True,123.38689251143013
Syria,reducedlinearmodelq0_fit_table,True,126.14889851379965
Sudan,reducedlinearmodelNegBinom_fit_table,True,126.75845836513972
Benin,reducedlinearmodelNegBinom_fit_table,True,130.58385791884436
Liberia,reducedlinearmodelNegBinom_fit_table,True,133.39414504503213
Congo (Brazzaville),nonlinearmodelq0ctime_fit_table,False,146.91974790551808
Libya,reducedlinearmodelNegBinom_fit_table,True,150.3658368784482
Haiti,reducedlinearmodelNegBinom_fit_table,True,160.69655640331717
Burma,nonlinearmodelq0ctime_fit_table,False,162.02322614027503
Guyana,reducedlinearmodelNegBinom_fit_table,True,169.55023286753124
Liechtenstein,reducedlinearmodelq0_fit_table,True,170.10708344580465
Gabon,nonlinearmodelq0ctime_fit_table,False,173.62457377949752
Bahamas,reducedlinearmodelNegBinom_fit_table,True,189.88696596812932
Tanzania,nonlinearmodelq0ctime_fit_table,False,194.710186033106
Zambia,reducedlinearmodelq0_fit_table,True,201.4548328011929
US_VI,fulllinearmodel_fit_table,True,205.0705050585043
Barbados,reducedlinearmodelNegBinom_fit_table,True,234.70540298367428
Ethiopia,nonlinearmodelq0ctime_fit_table,False,237.25311510455083
Monaco,reducedlinearmodelNegBinom_fit_table,True,241.93552656246675
Mali,fulllinearmodel_fit_table,True,252.0110657396121
Togo,reducedlinearmodelNegBinom_fit_table,True,263.8982014943548
El Salvador,reducedlinearmodelq0_fit_table,True,266.1687671454956
Guinea,reducedlinearmodelNegBinom_fit_table,True,270.20711776274067
Jamaica,nonlinearmodelq0ctime_fit_table,False,270.60762816489546
Djibouti,reducedlinearmodelq0_fit_table,True,283.73602629466694
Trinidad and Tobago,reducedlinearmodelq0_fit_table,True,288.34215810133634
Kosovo,nonlinearmodelq0ctime_fit_table,False,288.7979793074173
Guatemala,nonlinearmodelq0ctime_fit_table,False,289.34402595859507
US_GU,reducedlinearmodelq0ctime_fit_table,True,320.90187966978266
Congo (Kinshasa),reducedlinearmodelq0ctime_fit_table,True,330.62450338409127
Paraguay,reducedlinearmodelq0_fit_table,True,333.7755990386357
Niger,reducedlinearmodelq0_fit_table,True,337.09556522079976
Montenegro,reducedlinearmodelq0_fit_table,True,349.62373401155776
Kenya,reducedlinearmodelq0_fit_table,True,359.24068727424566
Mauritius,reducedlinearmodelq0_fit_table,True,360.3576364940461
Ghana,fulllinearmodel_fit_table,True,363.65036134346235
Brunei,reducedlinearmodelq0ctime_fit_table,True,365.9192150651608
Kyrgyzstan,reducedlinearmodelq0ctime_fit_table,True,370.3196209204262
Venezuela,reducedlinearmodelq0ctime_fit_table,True,378.8324921020177
US_AK,reducedlinearmodelNegBinom_fit_table,True,380.5693617466446
US_WY,reducedlinearmodelNegBinom_fit_table,True,392.7914584581089
Honduras,reducedlinearmodelNegBinom_fit_table,True,401.7794755746589
Sri Lanka,reducedlinearmodelq0ctime_fit_table,True,405.54232875087405
Bolivia,fulllinearmodel_fit_table,True,412.3174968325874
Cameroon,reducedlinearmodelq0_fit_table,True,425.33353110997734
Malta,reducedlinearmodelq0_fit_table,True,427.07492963204317
Nigeria,reducedlinearmodelq0_fit_table,True,427.28346191668
US_MT,reducedlinearmodelNegBinom_fit_table,True,427.8686016199442
US_ND,reducedlinearmodelq0ctime_fit_table,True,428.6253045450874
West Bank and Gaza,fulllinearmodel_fit_table,True,429.39725584118594
US_WV,reducedlinearmodelq0ctime_fit_table,True,430.01271393145055
Uruguay,reducedlinearmodelq0_fit_table,True,460.43752713955513
US_VT,fulllinearmodel_fit_table,True,460.5249689709095
Uzbekistan,fulllinearmodel_fit_table,True,464.7076134792634
Diamond Princess,reducedlinearmodelq0_fit_table,True,471.3377341037883
Latvia,reducedlinearmodelq0_fit_table,True,472.00436611673246
Georgia,reducedlinearmodelNegBinom_fit_table,True,474.93549922668717
Jordan,reducedlinearmodelq0_fit_table,True,476.7620510694784
US_HI,reducedlinearmodelq0_fit_table,True,479.3920577217172
Afghanistan,fulllinearmodel_fit_table,True,482.73622494293363
Cuba,reducedlinearmodelNegBinom_fit_table,True,484.7478510639143
Bangladesh,nonlinearmodelq0ctime_fit_table,False,486.7932322677655
Costa Rica,reducedlinearmodelq0_fit_table,True,509.1862596501877
Senegal,reducedlinearmodelq0_fit_table,True,510.4750323885338
San Marino,reducedlinearmodelq0ctime_fit_table,True,510.8959331298954
Andorra,reducedlinearmodelq0_fit_table,True,511.1763380531848
Cyprus,reducedlinearmodelq0_fit_table,True,519.3351224098117
Slovakia,fulllinearmodel_fit_table,True,528.1972725518268
Tunisia,reducedlinearmodelNegBinom_fit_table,True,529.1373259136859
Burkina Faso,reducedlinearmodelq0_fit_table,True,529.6745307216295
US_SD,fulllinearmodel_fit_table,True,542.2656045348797
US_ME,fulllinearmodel_fit_table,True,546.7070414886621
Albania,fulllinearmodel_fit_table,True,547.1710474825122
North Macedonia,reducedlinearmodelNegBinom_fit_table,True,570.5298771607112
US_NH,reducedlinearmodelq0_fit_table,True,572.0812659878436
Kazakhstan,nonlinearmodelq0ctime_fit_table,False,573.4439070873982
Lithuania,reducedlinearmodelq0_fit_table,True,576.1720495985654
US_NM,reducedlinearmodelq0_fit_table,True,579.3098217551643
Bulgaria,reducedlinearmodelNegBinom_fit_table,True,581.2144702983858
US_UT,fulllinearmodel_fit_table,True,603.5877464923228
Oman,reducedlinearmodelNegBinom_fit_table,True,603.7148105095698
Belarus,reducedlinearmodelNegBinom_fit_table,True,609.5469327427508
US_DE,reducedlinearmodelNegBinom_fit_table,True,611.7458257544422
Ukraine,reducedlinearmodelNegBinom_fit_table,True,619.3148203848949
Lebanon,fulllinearmodel_fit_table,True,620.7410907630126
Armenia,reducedlinearmodelq0_fit_table,True,622.5757688369022
Moldova,reducedlinearmodelq0_fit_table,True,623.0535217001958
Morocco,fulllinearmodel_fit_table,True,635.1984108161238
Bosnia and Herzegovina,reducedlinearmodelq0_fit_table,True,642.8439640388949
US_KY,reducedlinearmodelNegBinom_fit_table,True,645.7233091952528
US_RI,fulllinearmodel_fit_table,True,645.8251358287057
Azerbaijan,reducedlinearmodelq0_fit_table,True,648.5013201059278
US_AR,reducedlinearmodelNegBinom_fit_table,True,651.4032721279517
New Zealand,reducedlinearmodelq0ctime_fit_table,True,653.4931382528006
South Africa,reducedlinearmodelq0_fit_table,True,660.214650621342
Estonia,reducedlinearmodelq0_fit_table,True,661.6570679212508
US_OK,reducedlinearmodelq0_fit_table,True,668.8347659159269
US_DC,reducedlinearmodelNegBinom_fit_table,True,674.5357393250841
Serbia,fulllinearmodel_fit_table,True,678.2235275400568
US_IA,reducedlinearmodelq0_fit_table,True,680.5160846978166
Panama,reducedlinearmodelq0_fit_table,True,682.3879764213435
Hungary,reducedlinearmodelNegBinom_fit_table,True,685.335256892373
Slovenia,reducedlinearmodelq0_fit_table,True,690.1759718612046
US_AZ,reducedlinearmodelNegBinom_fit_table,True,702.3952388363949
Colombia,nonlinearmodelq0ctime_fit_table,False,717.0693826158362
Dominican Republic,reducedlinearmodelq0ctime_fit_table,True,718.6539217013208
Luxembourg,reducedlinearmodelq0_fit_table,True,727.1160097649366
Taiwan*,reducedlinearmodelq0ctime_fit_table,True,728.3941730588962
Kuwait,fulllinearmodel_fit_table,True,740.1954593086807
Croatia,fulllinearmodel_fit_table,True,753.8406629510347
US_VA,fulllinearmodel_fit_table,True,754.0223490637903
Finland,reducedlinearmodelNegBinom_fit_table,True,759.9586039273912
US_MN,reducedlinearmodelNegBinom_fit_table,True,776.1379793761122
Qatar,reducedlinearmodelNegBinom_fit_table,True,800.158190182006
Argentina,reducedlinearmodelq0_fit_table,True,809.1388840094509
Iceland,reducedlinearmodelq0ctime_fit_table,True,826.885203444267
US_MD,reducedlinearmodelq0_fit_table,True,840.320314022139
Greece,reducedlinearmodelq0_fit_table,True,841.611126185301
Egypt,fulllinearmodel_fit_table,True,860.2109879801102
US_TN,reducedlinearmodelq0_fit_table,True,862.2902425787953
Mexico,fulllinearmodel_fit_table,True,864.6527180804037
Philippines,nonlinearmodelq0ctime_fit_table,False,870.966343875116
Iraq,fulllinearmodel_fit_table,True,872.3716551577178
Bahrain,reducedlinearmodelq0ctime_fit_table,True,873.2891399646855
Ireland,reducedlinearmodelq0_fit_table,True,904.5959882587823
Saudi Arabia,reducedlinearmodelq0_fit_table,True,908.0396258617384
Algeria,fulllinearmodel_fit_table,True,908.4010615705342
Poland,nonlinearmodelq0ctime_fit_table,False,911.4324826634801
Ecuador,reducedlinearmodelq0ctime_fit_table,True,920.128500357309
Peru,reducedlinearmodelq0_fit_table,True,924.1038644169472
US_TX,reducedlinearmodelNegBinom_fit_table,True,940.2046460779244
Pakistan,reducedlinearmodelq0ctime_fit_table,True,942.6231398606596
Indonesia,fulllinearmodel_fit_table,True,944.3225147343852
Czechia,nonlinearmodelq0ctime_fit_table,False,948.069199440236
United Arab Emirates,reducedlinearmodelq0_fit_table,True,958.2595643205436
Norway,reducedlinearmodelq0_fit_table,True,961.5749857140061
Romania,reducedlinearmodelq0_fit_table,True,970.9449565187944
India,fulllinearmodel_fit_table,True,980.9414916991287
Chile,reducedlinearmodelNegBinom_fit_table,True,982.69226298709
Israel,reducedlinearmodelq0_fit_table,True,1061.6732906431523
Turkey,fulllinearmodel_fit_table,True,1084.4556042097217
Portugal,reducedlinearmodelq0_fit_table,True,1097.472683293542
Denmark,reducedlinearmodelq0_fit_table,True,1099.7436513484545
Brazil,fulllinearmodel_fit_table,True,1107.3141537063748
Russia,reducedlinearmodelq0ctime_fit_table,True,1110.4612465511443
Sweden,reducedlinearmodelq0_fit_table,True,1116.4211953674123
Thailand,fulllinearmodel_fit_table,True,1122.4984939737906
US_NJ,reducedlinearmodelq0_fit_table,True,1150.611134227596
US_MI,reducedlinearmodelq0_fit_table,True,1182.7620404444353
Singapore,fulllinearmodel_fit_table,True,1219.034602487541
Netherlands,fulllinearmodel_fit_table,True,1269.5508643007804
Malaysia,reducedlinearmodelq0ctime_fit_table,True,1270.136026660669
Austria,reducedlinearmodelq0_fit_table,True,1279.7859431404975
Belgium,nonlinearmodelq0ctime_fit_table,False,1394.6357546514764
Japan,reducedlinearmodelNegBinom_fit_table,True,1409.0216958543133
Switzerland,nonlinearmodelq0ctime_fit_table,False,1491.7153651435315
United Kingdom,reducedlinearmodelq0ctime_fit_table,True,1552.1048952200515
US_NY,nonlinearmodelq0ctime_fit_table,False,1563.9795773847904
"Korea, South",reducedlinearmodelq0ctime_fit_table,True,1764.6922973176602
Spain,reducedlinearmodelq0ctime_fit_table,True,2003.8831007665424
France,reducedlinearmodelq0ctime_fit_table,True,2029.9605713800931
Germany,reducedlinearmodelq0ctime_fit_table,True,2046.6330573628447
US,reducedlinearmodelq0ctime_fit_table,True,2113.8338018165246
Iran,reducedlinearmodelNegBinom_fit_table,True,2234.270719213317
Italy,reducedlinearmodelq0ctime_fit_table,True,2483.541661137591
China,fulllinearmodel_fit_table,True,3090.615697062937
