roi,quantile,R0,car,ifr,waic,loo,lp__rhat
US_MA,0.025,2.06584927971392,0.029170133995972434,0.0016437328444067955,8666.24871793201,8665.531028805408,
US_MA,0.25,3.8431500715301,0.10410514407254165,0.005602573081243529,8912.27637585817,8910.899795950621,
US_MA,0.5,5.87309329541372,0.221109475467146,0.011203768545931629,9041.367359638665,9039.6450590108,
US_MA,0.75,8.003430889194668,0.37775639051069754,0.020622879671886987,9170.45834341916,9168.390322070978,
US_MA,0.975,15.134870741241244,0.7271258056529302,0.04374322394003294,9416.48600134532,9413.759089216192,
US_MA,max,30.051850438901855,0.889656089443321,0.06166078929624556,,,
US_MA,mean,6.453920141704341,0.2644798717267176,0.014455691136216767,9041.367359638665,9039.6450590108,0.998993160128788
US_MA,min,1.4133704731565333,0.004842140150651657,0.0002994686034502127,,,
US_MA,std,3.5916696881739076,0.19165216349397574,0.011200434534696043,191.39057894203307,190.87801263510752,0.0
US_MI,0.025,16.59891403355233,0.4608936005643054,0.15940555935926404,9621.322282522857,9613.013879729424,
US_MI,0.25,16.65979977259367,0.461760077410723,0.16268811254937277,9864.934923828263,9855.18362777828,
US_MI,0.5,16.73696149367072,0.4689943793547636,0.16299045686000557,9992.75874572116,9982.250361986205,
US_MI,0.75,16.847945712263893,0.4717626257783778,0.16426093937302352,10120.582567614056,10109.31709619413,
US_MI,0.975,16.964194563398816,0.4772402919956277,0.16524288080653124,10364.195208919462,10351.486844242987,
US_MI,max,16.986403561105043,0.4777103306083106,0.16534818549557778,,,
US_MI,mean,16.753897982290233,0.46806923849562593,0.16298252949808345,9992.75874572116,9982.250361986205,2.104658856620325
US_MI,min,16.59459874014497,0.4607704925180093,0.1589187362745091,,,
US_MI,std,0.1300798056052489,0.006263724588390557,0.00189249971216404,189.51188191627256,188.38942203493116,0.0
