roi,quantile,R0,United States_avg,car,ifr,loo,lp__rhat,waic,n_data_pts,t0
AA_Global,mean,11.5349975242592,11.5349975242592,0.3649124496243146,0.08772539819608499,9504.641252182431,1.5444286018413838,9510.697811470618,560.600356824264,67.06690454950936
AA_Global,std,5.149527850114676,8.342262687186938,0.10178556987109684,0.0742567704971302,471.2604565236149,0.5527833540150354,475.65310477525514,7.49932853713075,4.999552358087167
AA_United States,mean,11.5349975242592,11.5349975242592,0.3649124496243146,0.08772539819608499,9504.641252182431,1.5444286018413838,9510.697811470618,560.600356824264,67.06690454950936
AA_United States,std,5.149527850114676,8.342262687186938,0.10178556987109684,0.0742567704971302,471.2604565236149,0.5527833540150354,475.65310477525514,7.49932853713075,4.999552358087167
US_MA,0.025,2.06584927971392,6.80042340198656,0.029170133995972437,0.0016437328444067955,8665.531028805408,,8666.248717932009,568.0,72.0
US_MA,0.25,3.8431500715301,7.68907379789465,0.10410514407254164,0.005602573081243529,8910.899795950621,,8912.27637585817,568.0,72.0
US_MA,0.5,5.873093295413719,8.70404540983646,0.22110947546714604,0.011203768545931627,9039.6450590108,,9041.367359638665,568.0,72.0
US_MA,0.75,8.003430889194668,9.769214206726934,0.3777563905106976,0.020622879671886987,9168.390322070978,,9170.458343419159,568.0,72.0
US_MA,0.975,15.134870741241246,13.334934132750224,0.7271258056529302,0.04374322394003294,9413.759089216192,,9416.48600134532,568.0,72.0
US_MA,mean,6.453920141704341,8.99445883298177,0.2644798717267176,0.014455691136216768,9039.6450590108,0.9989931601287879,9041.367359638665,568.0,72.0
US_MA,std,3.591669688173908,7.563333606216554,0.19165216349397574,0.011200434534696043,190.87801263510752,0.0,191.39057894203307,568.0,72.0
US_MI,0.025,16.59891403355233,14.066955778905765,0.4608936005643054,0.15940555935926404,9613.013879729424,,9621.322282522857,553.0,62.0
US_MI,0.25,16.65979977259367,14.097398648426434,0.46176007741072295,0.16268811254937274,9855.18362777828,,9864.934923828265,553.0,62.0
US_MI,0.5,16.73696149367072,14.13597950896496,0.4689943793547636,0.16299045686000554,9982.250361986204,,9992.75874572116,553.0,62.0
US_MI,0.75,16.847945712263893,14.191471618261547,0.4717626257783778,0.16426093937302352,10109.31709619413,,10120.582567614056,553.0,62.0
US_MI,0.975,16.964194563398813,14.249596043829007,0.4772402919956277,0.16524288080653124,10351.486844242989,,10364.195208919462,553.0,62.0
US_MI,mean,16.753897982290233,14.144447753274717,0.4680692384956259,0.16298252949808345,9982.250361986204,2.104658856620325,9992.75874572116,553.0,62.0
US_MI,std,0.1300798056052489,5.832538664932224,0.006263724588390557,0.00189249971216404,188.3894220349312,0.0,189.51188191627256,553.0,62.0
